"Labor Force Data by County, 2018 Annual Averages",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
County Name,State Abbreviation,Unemployment Rate (%),,,,,
,,,,,,,
Anderson County, TX,3.1     ,,,,,
Andrews County, TX,2.4     ,,,,,
Angelina County, TX,4.3     ,,,,,
Aransas County, TX,5.9     ,,,,,
Archer County, TX,3.0     ,,,,,
Armstrong County, TX,2.7     ,,,,,
Atascosa County, TX,3.7     ,,,,,
Austin County, TX,3.6     ,,,,,
Bailey County, TX,4.4     ,,,,,
Bandera County, TX,3.4     ,,,,,
Bastrop County, TX,3.4     ,,,,,
Baylor County, TX,3.2     ,,,,,
Bee County, TX,5.1     ,,,,,
Bell County, TX,4.1     ,,,,,
Bexar County, TX,3.3     ,,,,,
Blanco County, TX,2.6     ,,,,,
Borden County, TX,3.2     ,,,,,
Bosque County, TX,3.7     ,,,,,
Bowie County, TX,4.9     ,,,,,
Brazoria County, TX,4.5     ,,,,,
Brazos County, TX,2.8     ,,,,,
Brewster County, TX,3.3     ,,,,,
Briscoe County, TX,3.8     ,,,,,
Brooks County, TX,6.4     ,,,,,
Brown County, TX,3.7     ,,,,,
Burleson County, TX,3.6     ,,,,,
Burnet County, TX,2.9     ,,,,,
Caldwell County, TX,3.6     ,,,,,
Calhoun County, TX,4.1     ,,,,,
Callahan County, TX,3.3     ,,,,,
Cameron County, TX,6.1     ,,,,,
Camp County, TX,4.9     ,,,,,
Carson County, TX,2.8     ,,,,,
Cass County, TX,5.0     ,,,,,
Castro County, TX,2.8     ,,,,,
Chambers County, TX,5.4     ,,,,,
Cherokee County, TX,4.1     ,,,,,
Childress County, TX,2.6     ,,,,,
Clay County, TX,3.1     ,,,,,
Cochran County, TX,4.3     ,,,,,
Coke County, TX,3.4     ,,,,,
Coleman County, TX,3.9     ,,,,,
Collin County, TX,3.3     ,,,,,
Collingsworth County, TX,3.1     ,,,,,
Colorado County, TX,3.3     ,,,,,
Comal County, TX,3.2     ,,,,,
Comanche County, TX,3.6     ,,,,,
Concho County, TX,3.6     ,,,,,
Cooke County, TX,3.1     ,,,,,
Coryell County, TX,4.2     ,,,,,
Cottle County, TX,4.3     ,,,,,
Crane County, TX,3.8     ,,,,,
Crockett County, TX,2.9     ,,,,,
Crosby County, TX,4.6     ,,,,,
Culberson County, TX,3.1     ,,,,,
Dallam County, TX,2.0     ,,,,,
Dallas County, TX,3.8     ,,,,,
Dawson County, TX,4.3     ,,,,,
Deaf Smith County, TX,2.8     ,,,,,
Delta County, TX,3.4     ,,,,,
Denton County, TX,3.2     ,,,,,
DeWitt County, TX,3.1     ,,,,,
Dickens County, TX,4.2     ,,,,,
Dimmit County, TX,3.0     ,,,,,
Donley County, TX,3.4     ,,,,,
Duval County, TX,5.2     ,,,,,
Eastland County, TX,3.3     ,,,,,
Ector County, TX,2.7     ,,,,,
Edwards County, TX,2.8     ,,,,,
Ellis County, TX,3.3     ,,,,,
El Paso County, TX,4.2     ,,,,,
Erath County, TX,3.1     ,,,,,
Falls County, TX,3.9     ,,,,,
Fannin County, TX,3.1     ,,,,,
Fayette County, TX,2.8     ,,,,,
Fisher County, TX,3.2     ,,,,,
Floyd County, TX,5.2     ,,,,,
Foard County, TX,2.9     ,,,,,
Fort Bend County, TX,3.9     ,,,,,
Franklin County, TX,4.1     ,,,,,
Freestone County, TX,5.8     ,,,,,
Frio County, TX,2.8     ,,,,,
Gaines County, TX,2.5     ,,,,,
Galveston County, TX,4.6     ,,,,,
Garza County, TX,2.9     ,,,,,
Gillespie County, TX,2.5     ,,,,,
Glasscock County, TX,2.0     ,,,,,
Goliad County, TX,3.8     ,,,,,
Gonzales County, TX,3.0     ,,,,,
Gray County, TX,3.9     ,,,,,
Grayson County, TX,3.3     ,,,,,
Gregg County, TX,4.1     ,,,,,
Grimes County, TX,4.1     ,,,,,
Guadalupe County, TX,3.1     ,,,,,
Hale County, TX,4.7     ,,,,,
Hall County, TX,4.4     ,,,,,
Hamilton County, TX,3.3     ,,,,,
Hansford County, TX,2.3     ,,,,,
Hardeman County, TX,3.6     ,,,,,
Hardin County, TX,5.1     ,,,,,
Harris County, TX,4.4     ,,,,,
Harrison County, TX,4.3     ,,,,,
Hartley County, TX,1.8     ,,,,,
Haskell County, TX,3.8     ,,,,,
Hays County, TX,2.9     ,,,,,
Hemphill County, TX,2.0     ,,,,,
Henderson County, TX,3.7     ,,,,,
Hidalgo County, TX,6.5     ,,,,,
Hill County, TX,3.6     ,,,,,
Hockley County, TX,3.1     ,,,,,
Hood County, TX,3.7     ,,,,,
Hopkins County, TX,3.4     ,,,,,
Houston County, TX,3.7     ,,,,,
Howard County, TX,3.3     ,,,,,
Hudspeth County, TX,4.6     ,,,,,
Hunt County, TX,3.8     ,,,,,
Hutchinson County, TX,4.9     ,,,,,
Irion County, TX,3.0     ,,,,,
Jack County, TX,2.5     ,,,,,
Jackson County, TX,3.2     ,,,,,
Jasper County, TX,6.5     ,,,,,
Jeff Davis County, TX,2.9     ,,,,,
Jefferson County, TX,6.3     ,,,,,
Jim Hogg County, TX,5.6     ,,,,,
Jim Wells County, TX,5.4     ,,,,,
Johnson County, TX,3.4     ,,,,,
Jones County, TX,4.8     ,,,,,
Karnes County, TX,2.8     ,,,,,
Kaufman County, TX,3.4     ,,,,,
Kendall County, TX,2.9     ,,,,,
Kenedy County, TX,3.6     ,,,,,
Kent County, TX,2.4     ,,,,,
Kerr County, TX,3.2     ,,,,,
Kimble County, TX,3.0     ,,,,,
King County, TX,2.8     ,,,,,
Kinney County, TX,4.4     ,,,,,
Kleberg County, TX,4.9     ,,,,,
Knox County, TX,3.6     ,,,,,
Lamar County, TX,3.8     ,,,,,
Lamb County, TX,4.4     ,,,,,
Lampasas County, TX,3.7     ,,,,,
La Salle County, TX,2.4     ,,,,,
Lavaca County, TX,3.1     ,,,,,
Lee County, TX,3.0     ,,,,,
Leon County, TX,5.0     ,,,,,
Liberty County, TX,5.8     ,,,,,
Limestone County, TX,4.6     ,,,,,
Lipscomb County, TX,2.7     ,,,,,
Live Oak County, TX,3.7     ,,,,,
Llano County, TX,3.7     ,,,,,
Loving County, TX,1.5     ,,,,,
Lubbock County, TX,3.0     ,,,,,
Lynn County, TX,3.2     ,,,,,
McCulloch County, TX,3.3     ,,,,,
McLennan County, TX,3.6     ,,,,,
McMullen County, TX,1.8     ,,,,,
Madison County, TX,4.4     ,,,,,
Marion County, TX,4.5     ,,,,,
Martin County, TX,2.5     ,,,,,
Mason County, TX,3.1     ,,,,,
Matagorda County, TX,6.1     ,,,,,
Maverick County, TX,8.1     ,,,,,
Medina County, TX,3.5     ,,,,,
Menard County, TX,4.0     ,,,,,
Midland County, TX,2.1     ,,,,,
Milam County, TX,5.5     ,,,,,
Mills County, TX,3.5     ,,,,,
Mitchell County, TX,4.1     ,,,,,
Montague County, TX,3.2     ,,,,,
Montgomery County, TX,3.7     ,,,,,
Moore County, TX,2.6     ,,,,,
Morris County, TX,6.5     ,,,,,
Motley County, TX,3.7     ,,,,,
Nacogdoches County, TX,3.9     ,,,,,
Navarro County, TX,3.7     ,,,,,
Newton County, TX,6.7     ,,,,,
Nolan County, TX,3.3     ,,,,,
Nueces County, TX,4.6     ,,,,,
Ochiltree County, TX,2.8     ,,,,,
Oldham County, TX,2.6     ,,,,,
Orange County, TX,5.7     ,,,,,
Palo Pinto County, TX,3.3     ,,,,,
Panola County, TX,4.1     ,,,,,
Parker County, TX,3.1     ,,,,,
Parmer County, TX,2.3     ,,,,,
Pecos County, TX,3.6     ,,,,,
Polk County, TX,5.0     ,,,,,
Potter County, TX,2.9     ,,,,,
Presidio County, TX,6.9     ,,,,,
Rains County, TX,3.5     ,,,,,
Randall County, TX,2.6     ,,,,,
Reagan County, TX,2.5     ,,,,,
Real County, TX,5.0     ,,,,,
Red River County, TX,5.4     ,,,,,
Reeves County, TX,2.1     ,,,,,
Refugio County, TX,4.6     ,,,,,
Roberts County, TX,2.8     ,,,,,
Robertson County, TX,4.1     ,,,,,
Rockwall County, TX,3.2     ,,,,,
Runnels County, TX,3.1     ,,,,,
Rusk County, TX,4.0     ,,,,,
Sabine County, TX,7.9     ,,,,,
San Augustine County, TX,6.4     ,,,,,
San Jacinto County, TX,4.9     ,,,,,
San Patricio County, TX,6.3     ,,,,,
San Saba County, TX,3.0     ,,,,,
Schleicher County, TX,2.8     ,,,,,
Scurry County, TX,3.4     ,,,,,
Shackelford County, TX,2.3     ,,,,,
Shelby County, TX,4.3     ,,,,,
Sherman County, TX,2.6     ,,,,,
Smith County, TX,3.6     ,,,,,
Somervell County, TX,4.1     ,,,,,
Starr County, TX,10.0     ,,,,,
Stephens County, TX,3.6     ,,,,,
Sterling County, TX,3.3     ,,,,,
Stonewall County, TX,3.4     ,,,,,
Sutton County, TX,3.8     ,,,,,
Swisher County, TX,4.3     ,,,,,
Tarrant County, TX,3.5     ,,,,,
Taylor County, TX,3.1     ,,,,,
Terrell County, TX,3.4     ,,,,,
Terry County, TX,4.1     ,,,,,
Throckmorton County, TX,3.3     ,,,,,
Titus County, TX,5.0     ,,,,,
Tom Green County, TX,3.1     ,,,,,
Travis County, TX,2.8     ,,,,,
Trinity County, TX,5.1     ,,,,,
Tyler County, TX,6.6     ,,,,,
Upshur County, TX,4.2     ,,,,,
Upton County, TX,3.4     ,,,,,
Uvalde County, TX,4.2     ,,,,,
Val Verde County, TX,3.8     ,,,,,
Van Zandt County, TX,3.5     ,,,,,
Victoria County, TX,3.8     ,,,,,
Walker County, TX,4.2     ,,,,,
Waller County, TX,4.2     ,,,,,
Ward County, TX,2.5     ,,,,,
Washington County, TX,3.6     ,,,,,
Webb County, TX,3.7     ,,,,,
Wharton County, TX,3.7     ,,,,,
Wheeler County, TX,3.1     ,,,,,
Wichita County, TX,3.4     ,,,,,
Wilbarger County, TX,4.1     ,,,,,
Willacy County, TX,9.8     ,,,,,
Williamson County, TX,3.0     ,,,,,
Wilson County, TX,3.1     ,,,,,
Winkler County, TX,2.8     ,,,,,
Wise County, TX,3.4     ,,,,,
Wood County, TX,4.2     ,,,,,
Yoakum County, TX,2.9     ,,,,,
Young County, TX,3.2     ,,,,,
Zapata County, TX,5.5     ,,,,,
Zavala County, TX,9.6     ,,,,,
,,,,,,,
"SOURCE:  BLS, LAUS",,,,,,,
"April 17, 2020",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
