County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,,,,,,,,
Anderson County,54,0,2,6,46,350,121,188,41,0,,,,,,,,
Andrews County,17,0,2,0,15,80,18,50,12,0,,,,,,,,
Angelina County,96,0,24,3,69,492,152,274,66,1,,,,,,,,
Aransas County,76,0,18,3,55,264,94,152,18,0,,,,,,,,
Atascosa County,83,4,3,8,68,520,136,317,67,0,,,,,,,,
Austin County,14,0,6,0,8,100,48,36,16,3,,,,,,,,
Bailey County,10,1,0,0,9,28,8,19,1,0,,,,,,,,
Bandera County,34,1,24,2,7,284,108,134,42,0,,,,,,,,
Bastrop County,162,3,45,15,99,646,234,348,64,0,,,,,,,,
Bee County,31,1,6,1,23,145,40,88,17,5,,,,,,,,
Bell County,83,2,28,6,47,683,157,495,31,,,,,,,,,
Bexar County,627,10,166,79,372,"5,166",975,"3,770",421,49,,,,,,,,
Blanco County,9,0,1,0,8,36,13,22,1,1,,,,,,,,
Bosque County,2,0,0,0,2,51,22,25,4,1,,,,,,,,
Bowie County,80,0,20,5,55,349,113,191,45,11,,,,,,,,
Brazoria County,171,0,20,35,116,"1,226",251,838,137,2,,,,,,,,
Brazos County,49,1,11,0,37,305,75,199,31,2,,,,,,,,
Brewster County,8,0,3,1,4,13,6,7,0,1,,,,,,,,
Briscoe County,1,0,0,0,1,7,1,6,0,0,,,,,,,,
Brooks County,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Brown County,21,0,0,0,21,153,65,82,6,1,,,,,,,,
Burleson County,26,0,5,0,21,112,54,50,8,0,,,,,,,,
Burnet County,55,0,20,1,34,175,42,99,34,0,,,,,,,,
Caldwell County,33,0,0,5,28,114,39,59,16,1,,,,,,,,
Calhoun County,34,0,9,0,25,93,26,51,16,0,,,,,,,,
Callahan County,8,0,1,1,6,37,15,16,6,0,,,,,,,,
Cameron County,164,1,51,15,97,937,324,564,49,2,,,,,,,,
Camp County,2,0,0,0,2,74,28,35,11,0,,,,,,,,
Carson County,11,0,2,0,9,36,11,20,5,0,,,,,,,,
Cass County,39,0,4,3,32,208,93,85,30,3,,,,,,,,
Castro County,2,1,0,0,1,20,7,11,2,0,,,,,,,,
Cherokee County,85,1,10,2,72,418,143,229,46,1,,,,,,,,
Childress County,0,0,0,0,0,10,6,3,1,0,,,,,,,,
Clay County,25,0,9,5,11,124,65,40,19,3,,,,,,,,
Collin County,76,3,35,3,35,346,93,204,49,0,,,,,,,,
Colorado County,12,0,2,0,10,102,16,65,21,0,,,,,,,,
Comal County,,0,44,2,,517,161,320,36,0,,,,,,,,
Comanche County,2,0,0,0,2,61,19,36,6,2,,,,,,,,
Concho County,11,0,0,0,11,9,2,7,0,0,,,,,,,,
Cooke County,16,0,4,1,11,116,49,59,8,1,,,,,,,,
Coryell County,7,0,0,0,7,75,10,61,4,0,,,,,,,,
Crockett County,3,0,0,1,2,,,11,0,0,,,,,,,,
Crosby County,4,0,0,0,4,19,11,5,3,0,,,,,,,,
Culberson County,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Dallam County,1,0,0,0,1,3,3,0,0,0,,,,,,,,
Dallas County,50,1,20,2,27,236,44,155,37,0,,,,,,,,
Dawson County,4,0,0,1,3,51,19,30,2,0,,,,,,,,
Deaf Smith County,6,0,1,0,5,53,14,35,4,0,,,,,,,,
Delta County,2,0,0,0,2,29,10,18,1,0,,,,,,,,
Denton County,75,0,29,1,45,486,125,326,35,0,,,,,,,,
DeWitt County,32,2,7,0,23,,,75,7,0,,,,,,,,
Dimmit County,9,0,1,0,8,116,21,88,7,0,,,,,,,,
Donley County,5,0,0,2,3,37,10,22,5,2,,,,,,,,
Duval County,17,0,1,0,16,122,36,56,30,2,,,,,,,,
Eastland County,2,0,2,0,0,32,12,12,8,0,,,,,,,,
Ector County,109,4,6,22,77,"1,554",271,"1,020",263,1,,,,,,,,
Edwards County,3,0,1,0,2,21,11,10,0,0,,,,,,,,
El Paso County,243,8,44,10,181,668,141,470,57,3,,,,,,,,
Ellis County,118,0,27,5,86,412,92,280,40,0,,,,,,,,
Erath County,34,1,2,0,31,123,66,47,10,2,,,,,,,,
Falls County,17,1,4,0,12,53,14,33,6,0,,,,,,,,
Fannin County,35,0,10,1,24,172,94,63,15,0,,,,,,,,
Fayette County,19,0,3,2,14,111,35,73,3,0,,,,,,,,
Floyd County,23,0,5,1,17,36,11,23,2,0,,,,,,,,
Foard County,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Fort Bend County,836,6,126,145,559,"3,969",595,"3,166",208,20,,,,,,,,
Franklin County,17,1,0,1,15,51,21,26,4,0,,,,,,,,
Freestone County,17,0,0,1,16,109,39,63,7,2,,,,,,,,
Frio County,28,2,0,0,26,57,22,32,3,0,,,,,,,,
Gaines County,10,0,4,0,6,82,27,43,12,0,,,,,,,,
Galveston County,128,1,14,16,97,693,196,428,69,6,,,,,,,,
Garza County,7,0,0,0,7,35,15,17,3,0,,,,,,,,
Gillespie County,5,1,2,0,2,47,9,35,3,2,,,,,,,,
Glasscock County,0,0,0,0,0,19,2,16,1,0,,,,,,,,
Goliad County,13,0,4,0,9,95,27,54,14,0,,,,,,,,
Gonzales County,11,0,2,1,8,100,31,66,3,1,,,,,,,,
Gray County,7,0,1,1,5,97,35,51,11,1,,,,,,,,
Grayson County,91,1,27,4,59,398,127,209,62,1,,,,,,,,
Gregg County,67,0,15,3,49,417,107,244,66,0,,,,,,,,
Grimes County,8,0,0,0,8,122,39,73,10,4,,,,,,,,
Guadalupe County,71,3,30,5,33,448,126,283,39,20,,,,,,,,
Hale County,26,0,0,0,26,66,22,42,2,0,,,,,,,,
Hall County,1,0,0,0,1,12,7,3,2,0,,,,,,,,
Hansford County,5,0,1,0,4,9,3,2,4,0,,,,,,,,
Hardin County,45,3,5,6,31,301,100,144,57,5,,,,,,,,
Harris County,,86,591,"2,271",,"41,708","7,640","28,113","5,955",176,,,,,,,,
Harrison County,61,4,6,6,45,494,135,307,52,0,,,,,,,,
Hartley County,1,0,0,0,1,7,5,2,0,0,,,,,,,,
Haskell County,0,0,0,0,0,13,5,7,1,0,,,,,,,,
Hays County,135,2,17,8,108,656,175,449,32,0,,,,,,,,
Hemphill County,1,0,0,0,1,28,7,18,3,0,,,,,,,,
Henderson County,153,3,40,6,104,611,234,329,48,0,,,,,,,,
Hidalgo County,522,4,121,101,296,"3,489","1,022","2,286",181,19,,,,,,,,
Hill County,50,0,13,3,34,280,96,150,34,5,,,,,,,,
Hockley County,7,0,2,1,4,97,46,45,6,1,,,,,,,,
Hood County,71,2,13,3,53,391,111,244,36,2,,,,,,,,
Hopkins County,16,2,8,0,6,70,26,33,11,2,,,,,,,,
Houston County,10,0,1,1,8,101,33,58,10,0,,,,,,,,
Howard County,33,1,2,0,30,185,38,117,30,1,,,,,,,,
Hudspeth County,3,0,0,0,3,32,20,4,8,0,,,,,,,,
Hutchinson County,15,0,5,0,10,70,14,44,12,0,,,,,,,,
Irion County,4,0,1,0,3,30,7,20,3,0,,,,,,,,
Jack County,5,1,0,0,4,58,10,27,21,0,,,,,,,,
Jackson County,4,0,1,0,3,52,12,32,8,0,,,,,,,,
Jasper County,69,1,20,3,45,317,111,168,38,6,,,,,,,,
Jefferson County,51,0,1,6,44,381,97,233,51,5,,,,,,,,
Jim Wells County,109,2,12,1,94,344,178,141,25,6,,,,,,,,
Johnson County,213,1,35,7,170,675,164,420,91,4,,,,,,,,
Jones County,1,1,0,0,0,49,21,23,5,0,,,,,,,,
Karnes County,2,0,0,0,2,92,39,42,11,1,,,,,,,,
Kaufman County,143,2,58,8,75,571,162,330,79,0,,,,,,,,
Kendall County,14,0,7,0,7,111,29,68,14,1,,,,,,,,
Kenedy County,2,0,0,0,2,5,1,2,2,0,,,,,,,,
Kent County,2,0,1,0,1,9,0,8,1,0,,,,,,,,
Kerr County,30,0,14,0,16,155,45,106,4,0,,,,,,,,
Kimble County,0,0,0,0,0,11,2,7,2,0,,,,,,,,
Kinney County,0,0,0,0,0,1,1,0,0,0,,,,,,,,
Kleberg County,31,0,0,0,31,56,15,37,4,1,,,,,,,,
Knox County,1,0,1,0,0,12,3,9,0,0,,,,,,,,
La Salle County,2,0,0,0,2,37,6,31,0,0,,,,,,,,
Lamar County,34,2,12,1,19,144,31,103,10,0,,,,,,,,
Lamb County,5,0,3,0,2,42,9,26,7,3,,,,,,,,
Lampasas County,11,0,0,0,11,70,31,38,1,0,,,,,,,,
Lavaca County,16,1,10,0,5,47,20,24,3,0,,,,,,,,
Lee County,19,1,6,0,12,76,24,45,7,0,,,,,,,,
Leon County,16,1,0,0,15,129,38,84,7,2,,,,,,,,
Liberty County,177,2,46,4,125,666,237,331,98,5,,,,,,,,
Limestone County,26,0,2,0,24,106,49,48,9,1,,,,,,,,
Lipscomb County,4,0,2,0,2,30,2,17,11,0,,,,,,,,
Llano County,11,0,0,2,9,79,32,43,4,0,,,,,,,,
Lubbock County,25,1,9,0,15,366,79,254,33,1,,,,,,,,
Lynn County,0,0,0,0,0,25,7,11,7,0,,,,,,,,
Madison County,7,0,2,0,5,64,21,38,5,0,,,,,,,,
Marion County,38,1,4,1,32,124,52,67,5,0,,,,,,,,
Martin County,3,0,1,0,2,39,4,34,1,0,,,,,,,,
Mason County,1,0,0,0,1,17,7,9,1,0,,,,,,,,
Matagorda County,57,2,7,2,46,306,96,184,26,0,,,,,,,,
McCulloch County,0,0,0,0,0,14,6,6,2,0,,,,,,,,
McLennan County,68,0,23,2,43,424,137,225,62,6,,,,,,,,
McMullen County,1,0,0,0,1,18,5,12,1,0,,,,,,,,
Medina County,75,1,20,4,50,336,96,200,40,2,,,,,,,,
Menard County,1,0,0,0,1,13,13,0,0,0,,,,,,,,
Midland County,100,4,3,7,86,559,86,362,111,5,,,,,,,,
Milam County,18,0,0,1,17,74,20,47,7,0,,,,,,,,
Mills County,2,0,0,0,2,14,6,7,1,0,,,,,,,,
Mitchell County,0,0,0,0,0,29,12,12,5,0,,,,,,,,
Montague County,28,0,2,3,23,87,31,45,11,0,,,,,,,,
Montgomery County,847,10,107,132,598,"4,918",979,"3,421",518,23,,,,,,,,
Moore County,3,0,1,0,2,36,13,19,4,0,,,,,,,,
Morris County,6,0,3,0,3,70,26,39,5,0,,,,,,,,
Motley County,1,0,0,0,1,4,1,3,0,0,,,,,,,,
Nacogdoches County,60,1,7,0,52,309,100,179,30,0,,,,,,,,
Navarro County,53,2,14,2,35,281,110,143,28,4,,,,,,,,
Newton County,22,1,0,0,21,109,39,52,18,1,,,,,,,,
Nolan County,5,0,0,0,5,20,6,12,2,0,,,,,,,,
Nueces County,71,2,13,5,51,258,49,198,11,1,,,,,,,,
Ochiltree County,3,0,0,0,3,29,13,15,1,0,,,,,,,,
Oldham County,2,0,0,0,2,6,2,3,1,0,,,,,,,,
Orange County,70,0,20,7,43,541,178,268,95,1,,,,,,,,
Palo Pinto County,4,0,0,1,3,98,32,49,17,0,,,,,,,,
Parker County,136,2,40,6,88,825,224,523,78,3,,,,,,,,
Parmer County,5,0,1,0,4,11,2,7,2,0,,,,,,,,
Pecos County,0,0,0,0,0,91,18,64,9,1,,,,,,,,
Polk County,70,1,12,1,56,521,178,298,45,4,,,,,,,,
Potter County,34,0,3,0,31,194,43,126,25,0,,,,,,,,
Presidio County,0,0,0,0,0,3,0,2,1,0,,,,,,,,
Rains County,18,0,1,0,17,102,28,63,11,0,,,,,,,,
Randall County,54,0,24,6,24,248,70,156,22,2,,,,,,,,
Reagan County,8,0,0,0,8,58,12,40,6,0,,,,,,,,
Real County,4,0,0,0,4,46,18,25,3,0,,,,,,,,
Red River County,12,0,4,0,8,46,20,23,3,0,,,,,,,,
Reeves County,4,0,0,1,3,107,0,105,2,0,,,,,,,,
Refugio County,8,0,0,0,8,48,12,32,4,0,,,,,,,,
Roberts County,0,0,0,0,0,7,0,7,0,0,,,,,,,,
Robertson County,6,0,1,1,4,86,20,55,11,1,,,,,,,,
Rockwall County,13,0,4,0,9,110,20,66,24,0,,,,,,,,
Runnels County,1,0,0,0,1,15,7,8,0,0,,,,,,,,
Rusk County,65,0,7,2,56,536,207,279,50,10,,,,,,,,
Sabine County,36,0,5,0,31,126,61,51,14,1,,,,,,,,
San Augustine County,21,0,3,1,17,52,22,23,7,1,,,,,,,,
San Jacinto County,42,0,16,2,24,360,144,168,48,0,,,,,,,,
San Patricio County,41,3,0,1,37,258,71,167,20,0,,,,,,,,
San Saba County,8,0,0,0,8,34,25,7,2,0,,,,,,,,
Schleicher County,0,0,0,0,0,27,3,21,3,0,,,,,,,,
Scurry County,7,0,2,0,5,27,10,15,2,0,,,,,,,,
Sherman County,1,0,1,0,0,4,4,0,0,0,,,,,,,,
Smith County,272,8,55,7,202,"1,345",409,747,189,3,,,,,,,,
Somervell County,5,1,1,1,2,35,6,28,1,0,,,,,,,,
Starr County,61,0,10,2,49,160,62,85,13,9,,,,,,,,
Stephens County,2,0,0,0,2,45,17,25,3,0,,,,,,,,
Sterling County,1,0,0,0,1,4,1,3,0,0,,,,,,,,
Stonewall County,4,0,0,0,4,3,1,2,0,0,,,,,,,,
Sutton County,0,0,0,0,0,2,1,1,0,0,,,,,,,,
Swisher County,1,0,1,0,0,7,4,2,1,0,,,,,,,,
Tarrant County,109,4,34,11,60,728,213,458,57,6,,,,,,,,
Taylor County,35,0,6,1,28,107,46,52,9,0,,,,,,,,
Throckmorton County,4,0,1,0,3,5,5,0,0,0,,,,,,,,
Titus County,53,1,8,3,41,176,58,99,19,0,,,,,,,,
Tom Green County,20,1,17,0,2,260,104,133,23,2,,,,,,,,
Travis County,837,6,123,50,658,"3,090",701,"2,158",231,22,,,,,,,,
Trinity County,18,0,2,0,16,167,52,92,23,1,,,,,,,,
Tyler County,67,1,9,3,54,254,145,76,33,9,,,,,,,,
Upshur County,74,4,6,2,62,235,121,92,22,0,,,,,,,,
Upton County,1,0,0,0,1,18,0,16,2,1,,,,,,,,
Uvalde County,20,1,0,0,19,82,33,38,11,0,,,,,,,,
Val Verde County,27,0,2,0,25,102,40,57,5,10,,,,,,,,
Van Zandt County,1,0,0,1,0,156,70,67,19,0,,,,,,,,
Victoria County,77,3,19,1,54,372,118,221,33,0,,,,,,,,
Walker County,66,1,21,4,40,210,79,113,18,0,,,,,,,,
Waller County,71,0,35,3,33,349,93,238,18,0,,,,,,,,
Ward County,29,0,1,0,28,160,44,112,4,0,,,,,,,,
Washington County,39,0,14,4,21,90,29,53,8,1,,,,,,,,
Webb County,71,0,10,4,57,250,95,155,0,1,,,,,,,,
Wharton County,69,3,15,4,47,229,65,146,18,1,,,,,,,,
Wheeler County,0,0,0,0,0,31,6,21,4,0,,,,,,,,
Wichita County,32,1,1,0,30,139,60,59,20,1,,,,,,,,
Wilbarger County,1,0,0,0,1,18,9,9,0,0,,,,,,,,
Willacy County,64,2,2,2,58,194,70,120,4,2,,,,,,,,
Williamson County,195,2,52,17,124,"1,394",304,"1,010",80,8,,,,,,,,
Wilson County,15,0,2,0,13,188,80,97,11,1,,,,,,,,
Winkler County,10,0,4,0,6,61,15,41,5,0,,,,,,,,
Wise County,110,3,23,6,78,351,101,209,41,7,,,,,,,,
Wood County,73,0,30,0,43,201,60,117,24,0,,,,,,,,
Yoakum County,5,0,4,0,1,30,5,21,4,0,,,,,,,,
Young County,8,0,0,2,6,39,21,12,6,1,,,,,,,,
Zapata County,7,0,1,1,5,202,91,102,9,0,,,,,,,,
Zavala County,6,0,5,0,1,38,19,17,2,0,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,